listing_id,car_brand_id,car_brand,car_model_id,car_year,car_variant_id,car_engine,car_transmission_id,auction_date,reserve_price
1785481,Brand 149,Toyota,Model 2340,2010,Variant 14721,2.4,2,23/04/2021,32000
1785584,Brand 120,Naza,Model 1759,2010,Variant 10285,2,2,23/04/2021,7000
1785598,Brand 149,Toyota,Model 2482,2012,Variant 15836,1.5,2,23/04/2021,28300
1785643,Brand 63,Honda,Model 674,2016,Variant 3599,1.5,2,23/04/2021,41000
1786328,Brand 102,Mazda,Model 1267,2017,Variant 6699,2,2,23/04/2021,65000
1786602,Brand 124,Perodua,Model 1968,2007,Variant 11898,1.3,2,23/04/2021,9800
1786654,Brand 10,Audi,Model 53,2012,Variant 192,1.8,2,23/04/2021,48000
1786840,Brand 63,Honda,Model 676,2017,Variant 3636,1.8,2,23/04/2021,76000
1786964,Brand 107,Mercedes-Benz,Model 1470,2005,Variant 7882,1.8,2,23/04/2021,10000
1787019,Brand 121,Nissan,Model 1875,2001,Variant 11041,2,2,23/04/2021,5000
1787040,Brand 113,Mitsubishi,Model 1662,2014,Variant 9631,1.2,2,23/04/2021,17500
1787147,Brand 129,Proton,Model 2097,2011,Variant 13156,1.3,1,23/04/2021,5300
1787241,Brand 121,Nissan,Model 1897,2012,Variant 11311,3,1,23/04/2021,30000
1787243,Brand 129,Proton,Model 2118,1999,Variant 13461,1.6,2,23/04/2021,1000
1787267,Brand 149,Toyota,Model 2317,2008,Variant 14517,3,2,23/04/2021,40500
1787507,Brand 124,Perodua,Model 1946,2013,Variant 11563,1.5,2,23/04/2021,21800
1787564,Brand 129,Proton,Model 2067,2007,Variant 12815,1.3,1,23/04/2021,2500
1787579,Brand 129,Proton,Model 2097,2011,Variant 13156,1.3,2,23/04/2021,8000
1787755,Brand 124,Perodua,Model 1968,2015,Variant 11901,1.3,2,23/04/2021,21000
1787837,Brand 63,Honda,Model 674,2016,Variant 3589,1.5,2,23/04/2021,45000
1787889,Brand 65,Hyundai,Model 811,2013,Variant 4573,2.5,2,23/04/2021,40000
1787992,Brand 151,Volkswagen,Model 2561,2011,Variant 16538,1.4,2,23/04/2021,42000
1788045,Brand 149,Toyota,Model 2480,2010,Variant 15816,3.5,2,23/04/2021,70000
1788046,Brand 126,Peugeot,Model 2010,2013,Variant 12415,1.6,2,23/04/2021,16000
1788322,Brand 129,Proton,Model 2097,2009,Variant 13148,1.3,2,23/04/2021,3300
1788371,Brand 129,Proton,Model 2097,2014,Variant 13156,1.3,2,23/04/2021,13000
1788381,Brand 63,Honda,Model 725,2017,Variant 4111,1.5,2,23/04/2021,53800
1788542,Brand 113,Mitsubishi,Model 1710,2014,Variant 9920,2.5,2,23/04/2021,57300
1788543,Brand 73,Isuzu,Model 926,2015,Variant 5282,3,2,23/04/2021,58000
1788544,Brand 113,Mitsubishi,Model 1718,2015,Variant 10053,2.5,2,23/04/2021,55700
1788547,Brand 129,Proton,Model 2084,2014,Variant 12970,2,2,23/04/2021,35000
1788550,Brand 63,Honda,Model 662,2015,Variant 3475,2,2,23/04/2021,59000
1788582,Brand 63,Honda,Model 725,2003,Variant 4098,1.3,2,23/04/2021,13500
1788608,Brand 124,Perodua,Model 1978,2012,Variant 12050,0.8,1,23/04/2021,6500
1788628,Brand 124,Perodua,Model 1946,2013,Variant 11562,1.5,2,23/04/2021,25900
1788634,Brand 129,Proton,Model 2057,2009,Variant 12598,1.6,2,23/04/2021,12500
